"Date","AQS_PARAMETER_DESC","Site.Name","DAILY_AQI_VALUE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-10-11,"PM2.5","Board Of Ed. Bldg.",9,"Buncombe",35.6062000008935,-82.5844
2018-10-17,"PM2.5","Board Of Ed. Bldg.",8,"Buncombe",35.6062000008935,-82.5844
2018-10-23,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-10-29,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-11-04,"PM2.5","Board Of Ed. Bldg.",24,"Buncombe",35.6062000008935,-82.5844
2018-11-10,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-11-22,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-11-28,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-12-04,"PM2.5","Board Of Ed. Bldg.",8,"Buncombe",35.6062000008935,-82.5844
2018-12-10,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-12-16,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-12-22,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-12-28,"PM2.5","Board Of Ed. Bldg.",10,"Buncombe",35.6062000008935,-82.5844
2018-01-02,"PM2.5","Board Of Ed. Bldg.",29,"Buncombe",35.6062000008935,-82.5844
2018-01-08,"PM2.5","Board Of Ed. Bldg.",49,"Buncombe",35.6062000008935,-82.5844
2018-01-14,"PM2.5","Board Of Ed. Bldg.",1,"Buncombe",35.6062000008935,-82.5844
2018-01-26,"PM2.5","Board Of Ed. Bldg.",27,"Buncombe",35.6062000008935,-82.5844
2018-02-01,"PM2.5","Board Of Ed. Bldg.",40,"Buncombe",35.6062000008935,-82.5844
2018-02-07,"PM2.5","Board Of Ed. Bldg.",17,"Buncombe",35.6062000008935,-82.5844
2018-02-13,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-02-19,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-02-25,"PM2.5","Board Of Ed. Bldg.",29,"Buncombe",35.6062000008935,-82.5844
2018-03-03,"PM2.5","Board Of Ed. Bldg.",10,"Buncombe",35.6062000008935,-82.5844
2018-03-09,"PM2.5","Board Of Ed. Bldg.",27,"Buncombe",35.6062000008935,-82.5844
2018-03-15,"PM2.5","Board Of Ed. Bldg.",32,"Buncombe",35.6062000008935,-82.5844
2018-03-21,"PM2.5","Board Of Ed. Bldg.",8,"Buncombe",35.6062000008935,-82.5844
2018-03-27,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-04-02,"PM2.5","Board Of Ed. Bldg.",42,"Buncombe",35.6062000008935,-82.5844
2018-04-08,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-04-14,"PM2.5","Board Of Ed. Bldg.",40,"Buncombe",35.6062000008935,-82.5844
2018-04-20,"PM2.5","Board Of Ed. Bldg.",18,"Buncombe",35.6062000008935,-82.5844
2018-04-26,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-05-02,"PM2.5","Board Of Ed. Bldg.",47,"Buncombe",35.6062000008935,-82.5844
2018-05-08,"PM2.5","Board Of Ed. Bldg.",29,"Buncombe",35.6062000008935,-82.5844
2018-05-14,"PM2.5","Board Of Ed. Bldg.",55,"Buncombe",35.6062000008935,-82.5844
2018-05-26,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-06-01,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-06-07,"PM2.5","Board Of Ed. Bldg.",46,"Buncombe",35.6062000008935,-82.5844
2018-06-13,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-06-19,"PM2.5","Board Of Ed. Bldg.",47,"Buncombe",35.6062000008935,-82.5844
2018-06-25,"PM2.5","Board Of Ed. Bldg.",22,"Buncombe",35.6062000008935,-82.5844
2018-07-01,"PM2.5","Board Of Ed. Bldg.",31,"Buncombe",35.6062000008935,-82.5844
2018-07-07,"PM2.5","Board Of Ed. Bldg.",25,"Buncombe",35.6062000008935,-82.5844
2018-07-13,"PM2.5","Board Of Ed. Bldg.",46,"Buncombe",35.6062000008935,-82.5844
2018-07-19,"PM2.5","Board Of Ed. Bldg.",45,"Buncombe",35.6062000008935,-82.5844
2018-07-25,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-07-31,"PM2.5","Board Of Ed. Bldg.",31,"Buncombe",35.6062000008935,-82.5844
2018-08-06,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2018-08-12,"PM2.5","Board Of Ed. Bldg.",36,"Buncombe",35.6062000008935,-82.5844
2018-08-18,"PM2.5","Board Of Ed. Bldg.",25,"Buncombe",35.6062000008935,-82.5844
2018-08-24,"PM2.5","Board Of Ed. Bldg.",31,"Buncombe",35.6062000008935,-82.5844
2018-08-30,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2018-09-05,"PM2.5","Board Of Ed. Bldg.",33,"Buncombe",35.6062000008935,-82.5844
2018-09-11,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-09-23,"PM2.5","Board Of Ed. Bldg.",47,"Buncombe",35.6062000008935,-82.5844
2018-09-29,"PM2.5","Board Of Ed. Bldg.",17,"Buncombe",35.6062000008935,-82.5844
2018-10-05,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2018-10-11,"PM2.5","Board Of Ed. Bldg.",7,"Buncombe",35.6062000008935,-82.5844
2018-10-17,"PM2.5","Board Of Ed. Bldg.",9,"Buncombe",35.6062000008935,-82.5844
2018-10-23,"PM2.5","Board Of Ed. Bldg.",22,"Buncombe",35.6062000008935,-82.5844
2018-10-29,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-11-04,"PM2.5","Board Of Ed. Bldg.",25,"Buncombe",35.6062000008935,-82.5844
